object_id,speed_kmh,temperature_c,confidence,target,vehicle_type
1,32.1,24.5,0.82,1,car
2,45.3,27.1,0.91,1,car
3,51.7,29.4,0.76,1,car
4,28.4,22.8,0.68,0,pedestrian
5,36.2,25.1,0.88,1,car
6,42.5,26.8,0.73,1,suv
7,18.7,20.4,0.61,0,pedestrian
8,63.2,31.5,0.94,1,truck
9,55.1,30.2,0.89,1,car
10,22.8,21.7,0.57,0,pedestrian
11,47.6,27.9,0.84,1,suv
12,39.4,25.7,0.79,1,car
13,71.3,34.2,0.96,1,truck
14,16.5,19.8,0.54,0,pedestrian
15,34.8,24.2,0.81,1,car
16,58.4,31.0,0.92,1,suv
17,25.7,22.1,0.63,0,pedestrian
18,49.2,28.5,0.86,1,car
19,67.5,33.1,0.95,1,truck
20,31.6,23.9,0.72,1,car
